Race,Age
Native American,44
Black,20
White,37
White,72
White,52
Hispanic,46
White,25
Hispanic,38
White,27
Black,24
Black,19
White,31
Black,18
White,53
Asian,48
Black,29
White,30
White,61
White,71
Hispanic,41
White,36
Black,21
White,33
White,46
White,32
White,42
Black,17
Black,44
White,35
Hispanic,23
Black,21
White,53
Black,63
White,18
Black,51
White,64
White,45
Hispanic,20
White,41
White,23
Black,32
White,25
White,42
White,41
Hispanic,31
Hispanic,50
Hispanic,38
White,44
Black,38
Black,21
White,32
Black,23
White,41
Other,41
Hispanic,38
White,54
Native American,20
White,26
Other,29
White,47
Black,28
White,48
Asian,37
Black,34
White,33
White,36
White,43
Asian,32
White,29
Hispanic,39
Hispanic,16
White,40
White,21
White,50
Black,19
Native American,28
White,25
White,49
Hispanic,44
White,39
Black,44
White,50
White,57
Black,57
Hispanic,33
Hispanic,21
White,52
White,27
White,60
Black,25
Hispanic,34
White,22
Black,26
Hispanic,27
Hispanic,29
White,30
Hispanic,18
Hispanic,32
White,37
Black,54
White,50
Hispanic,28
White,59
Black,24
White,34
Hispanic,25
White,48
White,45
Hispanic,25
Black,17
Hispanic,18
Black,50
White,36
Hispanic,45
White,42
Black,23
Black,31
Hispanic,18
White,26
White,57
Hispanic,27
Asian,41
White,33
Black,22
White,38
Hispanic,26
White,45
Hispanic,23
Black,68
White,56
Black,45
Black,41
Hispanic,33
Black,22
Black,50
Hispanic,52
White,18
White,35
Black,18
White,34
White,51
White,29
Native American,34
Black,25
White,26
Hispanic,33
Black,17
White,25
Black,31
White,25
White,18
White,55
White,45
Black,25
Black,23
White,37
Asian,33
Black,27
White,32
Black,31
Hispanic,26
White,32
White,53
Black,19
White,53
White,35
White,64
Black,24
White,33
Hispanic,55
Black,17
Hispanic,48
Black,21
White,30
White,34
Black,35
White,32
Black,22
Black,46
Black,27
Hispanic,18
White,33
Hispanic,26
White,27
White,26
White,51
Black,63
Hispanic,38
Hispanic,25
Hispanic,39
Black,41
White,26
Black,30
Hispanic,33
White,38
Hispanic,24
Black,47
White,62
White,30
White,33
Black,23
White,39
White,46
White,36
White,66
White,27
White,40
Black,25
Black,20
Black,40
White,33
Hispanic,34
Hispanic,27
Hispanic,25
Hispanic,37
White,32
Native American,25
White,38
White,50
Hispanic,70
White,26
Black,41
White,91
White,25
Hispanic,24
White,29
White,40
White,51
Black,30
Hispanic,33
Hispanic,28
Black,23
White,23
Black,20
White,56
White,36
White,18
White,43
Hispanic,16
Black,29
White,25
Black,34
Black,32
Black,32
White,58
Black,36
White,25
White,59
Black,25
White,25
White,42
White,36
White,59
Black,21
White,19
Hispanic,45
White,42
Black,27
Asian,45
Black,42
Hispanic,24
Black,39
White,18
Hispanic,26
Hispanic,35
White,53
White,56
White,54
White,36
White,51
White,45
White,28
White,36
White,73
White,26
White,41
White,59
Black,28
White,45
White,27
White,46
Asian,30
Hispanic,46
Hispanic,47
Hispanic,32
White,65
Hispanic,19
White,22
Black,39
White,38
White,68
Black,49
Black,37
Asian,33
